# ----------------------------------------
# 1 Master View
# Top Conversion Paths
# 20170207-20170306
# ----------------------------------------

Source/Medium Path,Conversions,Conversion Value
mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > mail.google.com / referral > (direct) / (none) > (direct) / (none) > mall.googleplex.com / referral,1,$639.90
mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$591.68
mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$575.84
mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$149.00
mall.googleplex.com / referral > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none),1,$387.00
mall.googleplex.com / referral > (direct) / (none) > groups.google.com / referral,1,$33.59
mall.googleplex.com / referral > google / organic > (direct) / (none) > (direct) / (none),1,$159.96
mall.googleplex.com / referral > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$104.96
mall.googleplex.com / referral > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$239.94
mall.googleplex.com / referral > moma.corp.google.com / referral > mall.googleplex.com / referral,1,$149.00
moma.corp.google.com / referral > sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > mall.googleplex.com / referral,1,$237.00
moma.corp.google.com / referral > sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none),1,$745.00
moma.corp.google.com / referral > sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none),1,$114.36
moma.corp.google.com / referral > sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none) > (direct) / (none),1,$119.00
moma.corp.google.com / referral > sites.google.com / referral > moma.corp.google.com / referral,1,$119.00
moma.corp.google.com / referral > sites.google.com / referral > (direct) / (none),1,$812.00
moma.corp.google.com / referral > sites.google.com / referral > (direct) / (none) > moma.corp.google.com / referral > sites.google.com / referral > mall.googleplex.com / referral > moma.corp.google.com / referral > sites.google.com / referral,1,$149.00
moma.corp.google.com / referral > sites.google.com / referral > (direct) / (none) > moma.corp.google.com / referral > mall.googleplex.com / referral,1,$158.00
moma.corp.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > mall.googleplex.com / referral,1,$505.00
moma.corp.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none) > sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none),1,$298.00
moma.corp.google.com / referral > mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > sites.google.com / referral,1,$149.00
